Artist,Title,Medium,Year,Height (in),Width (in),Height (cm),Width (cm),Auction House,Sale Date,Lot Number,Estimate Price,Sold Price
Hernan Bas Title Untitled L,Untitled L #496,oil and sand on canvas,2006,12,9,30.5,22.9,"Christie's Auction (Shanghai) Co., Ltd","Saturday, September 21, 2019",00207,"70,000 - 100,000 CNY (9,875 - 14,107 USD)","96,000 CNY (13,543 USD)"
Hernan Bas Title The Nook in the Brook Description signed with the artist,The Nook in the Brook,"acrylic, watercolor, ink, graphite and neon paint",2005,30.1,22.4,76.5,57,Phillips London,"Thursday, April 11, 2019",00137,"10,000 - 15,000 GBP (13,065 - 19,597 USD)","15,000 GBP (19,597 USD)"
Hernan Bas Title The Last Song Description signed with the artist,The Last Song,"gouache, acrylic, metallic acrylic, charcoal, pastel,",2005,30,22.7,76.2,57.7,Phillips London,"Thursday, April 11, 2019",00138,"8,000 - 12,000 GBP (10,452 - 15,678 USD)","11,250 GBP (14,698 USD)"
Hernan Bas Title A Flaming Creature,"A Flaming Creature (or, the sound of music)",acrylic and silkscreen on linen,2011,72,60,183,152.5,Christie's Hong Kong,"Friday, March 29, 2019",00026,"350,000 - 450,000 HKD (44,586 - 57,325 USD)","1,187,500 HKD (151,275 USD)"
Hernan Bas Title Endymion Description Endymion,Endymion,acrylic and gouache on paper,2004,13.4,13,34,33,Wright,"Thursday, March 14, 2019",00108,"5,000 - 7,000 USD","10,000 USD"
Hernan Bas Title Decorative panel for the foyer of a homosexual,Decorative panel for the foyer of a homosexual's,"acrylic, airbrush, household gloss and block print",2010,50,35,127,88.9,Phillips London,"Friday, March 8, 2019",00200,"30,000 - 50,000 GBP (39,052 - 65,087 USD)","95,000 GBP"
Hernan Bas Title L,L'ETRATE,water-based oil on paper,2005,12.1,10,30.8,25.4,Sotheby's Online,"Thursday, March 7, 2019",00631,"4,000 - 6,000 USD",Bought In
Hernan Bas Title The Patron Saint of Velvet Description The Patron Saint of Velvetsigned with the artist,The Patron Saint of Velvet,oil on linen,2007,12,9,30.5,22.8,Phillips London,"Wednesday, December 5, 2018",00118,"5,000 - 7,000 GBP (6,373 - 8,922 USD)","10,625 GBP (13,543 USD)"
Hernan Bas Title UNTITLED,UNTITLED (KNIT SWEATER),water-based oil on mylar,2002,11.8,9.1,30,23,Sotheby's London,"Tuesday, November 20, 2018",00097,"7,000 - 10,000 GBP (8,967 - 12,810 USD)","8,750 GBP (11,209 USD)"
Hernan Bas Title The Giant,The Giant (Caved Wellars),oil on panel,2005,48,72,121.9,182.9,Phillips New York,"Wednesday, November 14, 2018",00411,"35,000 - 45,000 USD","112,500 USD"
Hernan Bas Title Three works,Three works: (i) You and me; (ii) Untitled (Dock);,each water-based oil on vellum,2001,14,11,35.6,28,Phillips London,"Thursday, October 4, 2018",00274,"15,000 - 20,000 GBP (19,523 - 26,031 USD)",Bought In
Hernan Bas Title Closing pattern Description Closing patternsigned with the artist,Closing pattern,mixed media on paper,2005,30,22.7,76.2,57.6,Phillips London,"Thursday, October 4, 2018",00273,"10,000 - 15,000 GBP (13,015 - 19,523 USD)","23,750 GBP"
Hernan Bas Title The Bad Seed,"The Bad Seed, 2002",water based oil on paper,2002,11,9.5,27.9,24.1,Sotheby's Online,"Friday, September 28, 2018",00499,"5,000 - 7,000 USD","15,000 USD"
Hernan Bas Title A BOY IN PERIL Description Hernan BasB,A BOY IN PERIL,oil on canvas,2013,72,60,182.9,152.4,Sotheby's New York,"Tuesday, September 25, 2018",00314,"30,000 - 50,000 USD","30,000 USD"
Hernan Bas Title Perfect Posture Description Perfect Posturesigned with the artist,Perfect Posture,acrylic and ink transfers on linen,2018,41,24,104.1,61,Phillips New York,"Friday, September 21, 2018",00043,"40,000 - 60,000 USD","60,500 USD"
Hernan Bas Title Broken,"Broken, 2005",ink,2005,11.5,10.2,29.2,26,Sotheby's Online,"Friday, July 20, 2018",00156,"5,000 - 7,000 USD","5,000 USD"
Hernan Bas Title Hiking Description Hernan BasHiking,Hiking,Oil on paper,2001,5.5,7.5,14,19,Los Angeles Modern Auctions,"Sunday, June 10, 2018",00073,"3,000 - 5,000 USD","3,750 USD"
Hernan Bas Title Untitled,Untitled (Late Dip),Oil on paper,2001,10.9,12.9,27.6,32.7,Los Angeles Modern Auctions,"Sunday, June 10, 2018",00072,"3,000 - 5,000 USD",Bought In
Hernan Bas Title The Hero Centaur Description The Hero Centaursigned with the artist,The Hero Centaur,oil on panel,2005,36,48,91.4,121.9,Phillips New York,"Wednesday, May 16, 2018",00363,"30,000 - 40,000 USD","81,250 USD"
Hernan Bas Title WITH STUPID Description Hernan BasB,WITH STUPID,oil on canvas,2011,107.9,96.1,274,244,Sotheby's Hong Kong,"Sunday, April 1, 2018",00598,"350,000 - 500,000 HKD (44,593 - 63,704 USD)","2,125,000 HKD (270,745 USD)"
Hernan Bas Title Camp Fire Medium Waterbased oil,Camp Fire,"Waterbased oil, acrylic, and graphite on paper",2001,11.5,10,29.2,25.4,artnet Auctions,"Thursday, October 5, 2017",122965,"8,000 - 12,000 USD","9,600 USD"
Hernan Bas Title Monster,"Monster,","acrylic, gouache and graphite on panel",2003,40,50,101.6,127,Christie's New York,"Thursday, September 28, 2017",00050,"40,000 - 60,000 USD","60,000 USD"
Hernan Bas Title EAGER BUT PINK Description signed with the artist,EAGER BUT PINK,oil on linen,2004,14,11,35.5,28,Sotheby's London,"Thursday, September 14, 2017",00191,"7,000 - 9,000 GBP (9,378 - 12,057 USD)","15,000 GBP (20,096 USD)"
Hernan Bas Title A LITTLE BROKEN Description signed with the artist,A LITTLE BROKEN,oil on panel,2006,12,10,30.5,25.5,Sotheby's London,"Thursday, September 14, 2017",00190,"7,000 - 9,000 GBP","13,750 GBP (18,421 USD)"
Hernan Bas Title DON,DON'T EVER SAY ANYTHING TO ANYONE,"oil, gouache",2004,13.4,13.8,34,35,Sotheby's London,"Thursday, September 14, 2017",00227,"2,000 - 3,000 GBP (2,679 - 4,019 USD)","7,500 GBP (10,048 USD)"
Hernan Bas Title Faced with infinite he reloaded his rifle Description Faced with infinite he reloaded his riflesigned with the artist,Faced with infinite he reloaded his rifle,acrylic on linen,2009,72,48,183,122,Phillips New York,"Wednesday, May 17, 2017",00273,"30,000 - 50,000 USD","52,500 USD"
Hernan Bas Title Two Works,"Two Works: (i) Your Private Friend (ii) Brandon,",water-based oil on vellum,2002,12,9,30.5,22.9,Phillips New York,"Tuesday, February 28, 2017",00084,"4,000 - 6,000 USD","16,250 USD"
Hernan Bas Title L,L'ETRATE,water-based oil on paper,2005,12.1,10,30.8,25.4,Sotheby's New York,"Thursday, September 29, 2016",00278,"6,000 - 8,000 USD",Bought In
Hernan Bas Title Case Study,"Case Study (Anton, The Best Present)",acrylic on linen,2014,50,40,127,101.5,K Auction,"Sunday, May 29, 2016",00055,"440,000 - 680,000 HKD (56,651 - 87,552 USD)","480,000 HKD (61,801 USD)"
Hernan Bas Title SAINT DISAPPEARING WITHOUT WITNESS Description signed with the artist,SAINT DISAPPEARING WITHOUT WITNESS,mixed media on canvas,2007,20.1,15.9,51,40.5,Sotheby's London,"Tuesday, March 15, 2016",00165,"7,000 - 9,000 GBP (9,917 - 12,751 USD)","8,750 GBP (12,397 USD)"
Hernan Bas Title Untitled L,Untitled L #496,oil and sand on canvas,2006,12,9,30.5,22.9,Phillips New York,"Monday, February 29, 2016",00289,"7,000 - 10,000 USD","6,875 USD"
Jonas Wood Title Floating Orange Ball Description DETAILSJONAS WOOD,Floating Orange Ball,oil and acrylic on linen,2014,44,26,111.8,66,Christie's New York,"Friday, November 22, 2024",00869,"60,000 - 80,000 USD","126,000 USD"
Jonas Wood Title Studio Plant Description DETAILSJONAS WOOD,Studio Plant,oil and colored pencil on canvas,2007,28.3,15.2,71.8,38.7,Christie's New York,"Friday, November 22, 2024",00849,"150,000 - 200,000 USD","176,400 USD"
Jonas Wood Title Still Life with Cat and Fruit Description DETAILSJONAS WOOD,Still Life with Cat and Fruit,oil and acrylic on canvas,2020,58,45,147.3,114.3,,,,"700,000 - 1,000,000 USD","1,865,000 USD"
Jonas Wood Title Ptolemy and Robot Description Lot,Ptolemy and Robot,oil and acrylic on linen,2013,35,18.5,88.9,47,Sotheby's New York,"Thursday, November 21, 2024",00487,"120,000 - 180,000 USD","156,000 USD"
Jonas Wood Title Paul Gibson Description Lot,Paul Gibson,oil on canvas,2008,40,30,101.6,76.2,Sotheby's New York,"Thursday, November 21, 2024",00517,"80,000 - 120,000 USD","132,000 USD"
Jonas Wood Title BW Parrot Pattern Description DETAILSJONAS WOOD,BW Parrot Pattern,oil and acrylic on canvas,2012,65.2,65.2,165.7,165.7,Christie's New York,"Tuesday, October 1, 2024",00442,"300,000 - 500,000 USD",Withdrawn
Jonas Wood Title Untitled,Untitled (Silver Leaves),oil on canvas,2010,24,18,61,45.8,Christie's London,"Thursday, June 27, 2024",00078,"50,000 - 70,000 GBP (63,259 - 88,562 USD)",Bought In
Jonas Wood Title Untitled,Untitled (Drawing Rally),oil and acrylic on canvas,2011,98,88.2,249,224,Sotheby's London,"Tuesday, June 25, 2024",00033,"1,000,000 - 1,500,000 GBP (1,267,427 - 1,901,140 USD)","1,110,000 GBP (1,406,844 USD)"
Jonas Wood Title,⽆题,oil on canvas,2003,20.9,20.9,53,53,"Holly's International Auctions Co., Ltd.","Monday, June 24, 2024",01364,"120,000 - 200,000 CNY (16,531 - 27,553 USD)",Bought In
Jonas Wood Title Wimbledon,Wimbledon 1,oil and acrylic on canvas,2011,70.1,74,178,188,Phillips Hong Kong,"Friday, May 31, 2024",00008,"2,000,000 - 4,000,000 HKD (255,754 - 511,508 USD)","2,032,000 HKD (259,846 USD)"
Jonas Wood Title Untitled,Untitled (Pollock with Night Bloom),oil and acrylic on canvas,2012,65,30,165.1,76.2,Christie's New York,"Friday, May 17, 2024",00328,"300,000 - 500,000 USD","478,800 USD"
Jonas Wood Title Clipping B,Clipping B3 (Succulent),acrylic and oil on canvas,2013,100,87.6,254,222.6,Sotheby's New York,"Tuesday, May 14, 2024",00573,"700,000 - 1,000,000 USD",Withdrawn
Jonas Wood Title Landscape Pot,Landscape Pot 1,oil on canvas,2014,118,93,299.7,236.2,,,,"2,200,000 - 2,800,000 USD","1,744,000 USD"
Jonas Wood Title SK Dino Pot,SK Dino Pot #2,oil and acrylic on canvas,2015,90,68,228.6,172.7,Christie's New York,"Wednesday, March 13, 2024",00316,"700,000 - 1,000,000 USD","756,000 USD"
Jonas Wood Title Untitled,Untitled (Raffi),oil on canvas,2006,52,44,132.1,111.8,Sotheby's New York,"Friday, March 1, 2024",00222,"400,000 - 600,000 USD",Bought In
Jonas Wood Title Interior with Fireplace Description Jonas Woodb,Interior with Fireplace,oil and acrylic on canvas,2012,102,92.2,259.1,234.3,Sotheby's New York,"Wednesday, November 15, 2023",00011,"2,000,000 - 3,000,000 USD","4,295,000 USD"
Jonas Wood Title NB,NB2,oil on linen,2009,20.1,15,51,38,Los Angeles Modern Auctions,"Thursday, October 19, 2023",00108,"20,000 - 30,000 USD","32,760 USD"
Jonas Wood Title Untitled,Untitled (3 Shio Pots),oil on canvas,2010,34.1,22.2,86.6,56.4,Sotheby's London,"Friday, October 13, 2023",00241,"100,000 - 150,000 GBP (121,359 - 182,038 USD)","107,950 GBP (131,007 USD)"
Jonas Wood Title M,M.S.F. Fish Pot #4 M.S.F. ⿂紋罐 #4,oil and acrylic on canvas,2014,65,65,165.1,165.1,Sotheby's Hong Kong,"Thursday, October 5, 2023",08506,"9,500,000 - 14,000,000 HKD (1,213,111 - 1,787,743 USD)","15,575,000 HKD (1,988,864 USD)"
Jonas Wood Title Baby Blue Description JONAS WOOD,Baby Blue,oil on canvas,2009,30,22,76.2,55.9,Christie's New York,"Friday, September 29, 2023",00363,"100,000 - 150,000 USD","126,000 USD"
Jonas Wood Title M,M.S.F. Fish Pot #7,oil and acrylic on canvas,2016,72,72,182.8,182.8,Christie's Hong Kong,"Sunday, May 28, 2023",00094,"12,500,000 - 18,500,000 HKD (1,595,771 - 2,361,742 USD)","17,920,000 HKD"
Jonas Wood Title Red on Black Collage Description Lot,Red on Black Collage,"oil, cardboard, linen and canvas on linen",2009,44,29,111.7,73.6,Sotheby's New York,"Friday, May 19, 2023",00878,"180,000 - 250,000 USD",Bought In
Jonas Wood Title Red Pot with White Blouse Description Lot,Red Pot with White Blouse,oil and acrylic on canvas,2018,72,70,182.9,177.8,Sotheby's New York,"Thursday, May 18, 2023",00005,"2,500,000 - 3,500,000 USD","3,690,000 USD"
Jonas Wood Title GG HK NPP,GG HK NPP #1,oil and screenprint on canvas,2017,93,61,236.2,155,Christie's New York,"Friday, May 12, 2023",00263,"450,000 - 650,000 USD","478,800 USD"
Jonas Wood Title Calais Drive,Calais Drive 2 加來⼤道 2,oil and acrylic on canvas,2012,100,72,254,183,Sotheby's Hong Kong,"Wednesday, April 5, 2023",01135,"12,000,000 - 20,000,000 HKD (1,528,643 - 2,547,738 USD)","14,365,000 HKD (1,829,913 USD)"
Jonas Wood Title Untitled,Untitled (Take 2),oil on canvas,2009,83.9,38.2,213,97,Sotheby's London,"Wednesday, March 1, 2023",00018,"350,000 - 450,000 GBP (421,230 - 541,581 USD)","609,600 GBP (733,662 USD)"
Jonas Wood Title Chico Description signed with the artist,Chico,oil on linen,2008,48,48,121.9,121.9,Phillips Hong Kong,"Wednesday, November 30, 2022",00120,"900,000 - 1,200,000 HKD","1,260,000 HKD (161,434 USD)"
Jonas Wood Title Jeremy Description JONAS WOOD,Jeremy,oil and acrylic on canvas,2014,112,132,284.5,335.3,Christie's New York,"Friday, November 18, 2022",00445,"1,000,000 - 1,500,000 USD","1,440,000 USD"
Jonas Wood Title Clipping A,Clipping A2,oil and acrylic on canvas,2013,118,93,299.7,236.2,Sotheby's New York,"Wednesday, November 16, 2022",00014,"500,000 - 700,000 USD","756,000 USD"
Jonas Wood Title Wood Grain Pot with Night Bloom Description Property from a Distinguished Private CollectionJonas Woodb,Wood Grain Pot with Night Bloom,oil and acrylic on canvas,2015,118,90,299.7,228.6,Sotheby's London,"Friday, October 14, 2022",00007,"800,000 - 1,200,000 GBP (896,861 - 1,345,291 USD)","642,600 GBP (720,403 USD)"
Jonas Wood Title Robot Living Stone Description FLOURISH,Robot Living Stone,oil and acrylic on canvas,2021,20,16.1,50.8,41,Christie's New York,"Thursday, September 29, 2022",00305,"100,000 - 150,000 USD","239,400 USD"
Jonas Wood Title Clipping H,Clipping H2,acrylic on canvas,2013,70,71,177.7,180.3,Christie's Hong Kong,"Friday, May 27, 2022",00126,"5,200,000 - 8,200,000 HKD (662,462 - 1,044,652 USD)",Bought In
Jonas Wood Title Shio Still Life in Black and White Description Jonas Woodb,Shio Still Life in Black and White,acrylic on canvas,2011,96,42,243.8,106.7,Sotheby's New York,"Friday, May 20, 2022",00468,"500,000 - 700,000 USD","567,000 USD"
Jonas Wood Title Green Garden Landscape Pot Description JONAS WOOD,Green Garden Landscape Pot,oil and acrylic on canvas,2016,118,93,299.7,236.2,Christie's New York,"Tuesday, May 10, 2022",0007B,"2,500,000 - 3,500,000 USD","3,060,000 USD"
Jonas Wood Title Anthony Davis,Anthony Davis 安東尼戴維斯,oil and acrylic on linen,2012,58,42,147.3,106.7,Sotheby's Hong Kong,"Thursday, April 28, 2022",00545,"1,200,000 - 2,200,000 HKD (152,936 - 280,383 USD)","1,638,000 HKD (208,758 USD)"
Jonas Wood Title Clipping A,Clipping A3 (Red and Yellow Orchid),oil and acrylic on canvas,2013,118,93,299.7,236.2,Sotheby's New York,"Friday, March 11, 2022",00022,"1,200,000 - 1,800,000 USD","1,623,000 USD"
Jonas Wood Title Yellow Crate Description signed with the artist,Yellow Crate,oil on canvas,2006,32.5,36.5,82.6,92.7,Phillips London,"Thursday, December 9, 2021",00017,"150,000 - 200,000 GBP (197,836 - 263,782 USD)","327,600 GBP (432,075 USD)"
Jonas Wood Title Yellow Still Life with Grating Description JONAS WOOD,Yellow Still Life with Grating,oil and acrylic on canvas,2016,60,68,152.4,172.7,Christie's Hong Kong,"Wednesday, December 1, 2021",00004,"12,000,000 - 18,000,000 HKD (1,540,159 - 2,310,239 USD)","36,250,000 HKD (4,652,565 USD)"
Jonas Wood Title Clipping D,Clipping D2 | 《剪紙D2》,oil and acrylic on canvas,2013,93.1,100.1,236.5,254.3,Sotheby's New York,"Thursday, November 18, 2021",00019,"800,000 - 1,200,000 USD","1,472,000 USD"
Jonas Wood Title,⽆题 布⾯油彩裱于⽊板,oil on canvas mounted to woodboard,2003,20.9,20.9,53,53,Holly's International Shanghai,"Friday, November 12, 2021",08072,"200,000 - 300,000 CNY (31,350 - 47,026 USD)","287,500 CNY (45,066 USD)"
Jonas Wood Title Rosy Pattern Description JONAS WOOD,Rosy Pattern,oil and acrylic on canvas,2012,20,20,50.8,50.8,Christie's New York,"Friday, November 12, 2021",00309,"100,000 - 150,000 USD","225,000 USD"
Jonas Wood Title Couch Pattern Description JONAS WOOD,Couch Pattern,oil and acrylic on canvas,2012,18,18,45.7,45.7,Christie's New York,"Friday, November 12, 2021",00308,"120,000 - 180,000 USD","275,000 USD"
Jonas Wood Title Mini Purple Bball Orchid Description JONAS WOOD,Mini Purple Bball Orchid,oil and acrylic on canvas,2021,28,20,71.1,50.8,Christie's New York,"Friday, November 12, 2021",00125,"200,000 - 300,000 USD","870,000 USD"
Jonas Wood Title Untitled,Untitled (Blue with Triangles) 無題（藍帶三⻆形),oil on canvas,2009,32,32,81.4,81.4,Sotheby's Hong Kong,"Sunday, October 10, 2021",00539,"1,500,000 - 2,500,000 HKD (192,690 - 321,151 USD)","3,150,000 HKD (404,650 USD)"
Jonas Wood Title Untitled Description Jonas Woodb,Untitled,oil on canvas mounted on wood,2003,20.9,20.9,53,53.2,Sotheby's London,"Thursday, August 19, 2021",00024,"10,000 - 15,000 GBP (13,672 - 20,508 USD)","17,640 GBP (24,118 USD)"
Jonas Wood Title Untitled Description signed with the artist,Untitled,acrylic and ink on cardboard,2008,13,14.5,32.9,36.9,Phillips London,"Tuesday, July 13, 2021",00042,"30,000 - 40,000 GBP (41,539 - 55,386 USD)",Bought In
Jonas Wood Title Paul Gibson Description signed,Paul Gibson,oil on canvas,2008,40,30,101.6,76.2,Phillips in Association with Poly Auction,"Monday, June 7, 2021",00191,"1,000,000 - 2,000,000 HKD (128,879 - 257,758 USD)","1,134,000 HKD (146,149 USD)"
Jonas Wood Title Clipping F,Clipping F1,oil and acrylic on canvas,2013,93,100,236.2,254,Christie's New York,"Friday, May 14, 2021",00235,"500,000 - 700,000 USD","1,470,000 USD"
Jonas Wood Title Two Tables with Floral Pattern Description JONAS WOOD,Two Tables with Floral Pattern,oil and acrylic on canvas,2013,100,93,254,236.2,Christie's New York,"Tuesday, May 11, 2021",0005A,"2,000,000 - 4,000,000 USD","6,510,000 USD"
Jonas Wood Title Manny Description Jonas Woodb,Manny,oil on canvas,2009,24,20.1,61,51,Sotheby's New York,"Friday, March 12, 2021",00117,"120,000 - 180,000 USD","151,200 USD"
Jonas Wood Title Basketball Description signed with the artist,Basketball,acrylic and ink on paper,2008,13.5,14.5,34.3,36.8,Phillips New York,"Wednesday, March 3, 2021",00135,"20,000 - 30,000 USD","44,100 USD"
Jonas Wood Title Yellow Clipping,Yellow Clipping 2,oil and acrylic on linen,2017,65.1,40,165.3,101.7,Christie's Hong Kong,"Thursday, December 3, 2020",00413,"1,800,000 - 2,800,000 HKD (232,219 - 361,229 USD)","3,000,000 HKD (387,031 USD)"
Jonas Wood Title Ghost Description Jonas Woodb,Ghost,,,,,,,,,,,
on the reverseoil Medium oil and graphite on canvas Year of Work,,oil and graphite on canvas,2004,72,74.8,183,190,Sotheby's New York,"Tuesday, November 17, 2020",00126,"350,000 - 450,000 USD","315,000 USD"
Jonas Wood Title Speaker,Speaker 78,oil on canvas,2008,55.1,43,140,109.2,Christie's London,"Friday, October 23, 2020",00214,"220,000 - 320,000 GBP (286,794 - 417,155 USD)","250,000 GBP (325,902 USD)"
Jonas Wood Title NIGHT PLANT Description JONAS WOODb,NIGHT PLANT,oil on canvas,2007,27,19,68.6,48.3,Sotheby's London,"Thursday, October 22, 2020",00220,"80,000 - 120,000 GBP (104,712 - 157,068 USD)","100,800 GBP (131,937 USD)"
Jonas Wood Title Untitled,Untitled (3 Big Dots),oil on linen,2009,48,38,121.9,96.5,Christie's New York,"Wednesday, October 7, 2020",00139,"180,000 - 250,000 USD","225,000 USD"
Jonas Wood Title N,N. Lowe 2 (Peach Faced Love Bird),oil on canvas,2007,35.1,27.9,89.2,70.8,Christie's New York,"Wednesday, October 7, 2020",00165,"70,000 - 100,000 USD","312,500 USD"
Jonas Wood Title BLUE CRATE WITH STILL LIFE,BLUE CRATE WITH STILL LIFE 藍板箱與靜物,oil on linen,2012,48,30,122,76.3,Sotheby's Hong Kong,"Tuesday, October 6, 2020",01110,"3,000,000 - 4,500,000 HKD (387,101 - 580,652 USD)","6,830,000 HKD (881,301 USD)"
Jonas Wood Title Clipping D,Clipping D2 (Blue Orchid),oil and acrylic on canvas,2013,236.2,254.3,599.9,645.9,Fair Warning,"Thursday, September 3, 2020",00001,"850,000 - 1,200,000 USD","1,035,000 USD"
Jonas Wood Title Big Brown Description JONAS WOOD,Big Brown,oil on canvas,2008,16,20,40.6,50.8,Christie's Online,"Wednesday, August 19, 2020",00003,"50,000 - 70,000 USD","68,750 USD"
Jonas Wood Title M,M.S.F. Fish Pot #7,oil and acrylic on canvas,2016,72,72,182.8,182.8,Christie's Hong Kong,"Friday, July 10, 2020",00005,"8,000,000 - 15,000,000 HKD (1,032,178 - 1,935,334 USD)","13,325,000 HKD (1,719,221 USD)"
Jonas Wood Title Reggie Lewis Description,Reggie Lewis,oil and acrylic on canvas,2014,78,58,198.2,147.2,Phillips Hong Kong,"Thursday, July 9, 2020",00105,"1,500,000 - 2,500,000 HKD (193,545 - 322,576 USD)","2,250,000 HKD (290,318 USD)"
Jonas Wood Title Shio With Two Dogs Description signed,Shio With Two Dogs,oil and acrylic on linen,2014,53,58,134.6,147.3,Sotheby's Hong Kong,"Thursday, July 9, 2020",01123,"8,000,000 - 12,000,000 HKD (1,032,244 - 1,548,367 USD)","9,775,000 HKD (1,261,274 USD)"
Jonas Wood Title Untitled,Untitled (Cat Poster),oil and acrylic on canvas,2011,59.8,79.1,152,201,Sotheby's Hong Kong,"Thursday, July 9, 2020",01119,"5,500,000 - 7,000,000 HKD (709,668 - 903,214 USD)",Bought In
Jonas Wood Title UNTITLED,UNTITLED (SHIO'S CUPS),oil on canvas,2007,18,14,45.7,35.5,Sotheby's New York,"Friday, March 6, 2020",00245,"50,000 - 70,000 USD","93,750 USD"
Jonas Wood Title COLLABORATION APPROPRIATION,COLLABORATION APPROPRIATION 4,oil and acrylic on canvas,2015,42,36,106.7,91.4,Sotheby's London,"Wednesday, February 12, 2020",00110,"300,000 - 400,000 GBP (389,256 - 519,008 USD)","795,000 GBP (1,031,529 USD)"
Jonas Wood Title Studio Plant Description Jonas Wood,Studio Plant,oil and colored pencil on canvas,2007,28,15.3,71.1,38.8,Phillips London,"Thursday, December 12, 2019",00024,"80,000 - 120,000 GBP (105,042 - 157,563 USD)","187,500 GBP (246,192 USD)"
Jonas Wood Title Jackson Hole Wyoming Description Jonas Wood,Jackson Hole Wyoming,oil and acrylic on linen,2013,35.4,27.2,90,69,Christie's New York,"Thursday, November 14, 2019",00809,"200,000 - 300,000 USD","350,000 USD"
Jonas Wood Title,2 Birds at Night,oil and acrylic on linen,2013,60,44,152.4,111.8,Christie's New York,"Thursday, November 14, 2019",00808,"500,000 - 700,000 USD","591,000 USD"
Jonas Wood Title Small Green,Small Green 84,oil and acrylic on canvas,2011,59.3,55,150.5,139.7,Phillips New York,"Thursday, November 14, 2019",00018,"800,000 - 1,200,000 USD","1,340,000 USD"
Jonas Wood Title YELLOW STILL LIFE Description signed twice,YELLOW STILL LIFE,oil and acrylic on canvas,2012,78,85.5,198.1,217.2,Sotheby's New York,"Thursday, November 14, 2019",00006,"1,000,000 - 1,500,000 USD","1,460,000 USD"
Jonas Wood Title,クリッピング・スカーフ,scarf laid down to panel,,48,48,122,122,Mainichi Auction,"Friday, November 8, 2019",00953,,"180,000 JPY (1,649 USD)"
Jonas Wood Title YELLOW CLIPPING,YELLOW CLIPPING 2,oil and acrylic on linen,2017,65.1,40,165.3,101.7,Sotheby's Hong Kong,"Sunday, October 6, 2019",01137,"3,000,000 - 5,000,000 HKD (382,667 - 637,779 USD)","3,750,000 HKD (478,334 USD)"
Jonas Wood Title Hammer,Hammer 5,oil and acrylic on linen,2010,90,114,228.6,289.6,Christie's London,"Friday, October 4, 2019",00036,"1,000,000 - 1,500,000 GBP (1,230,769 - 1,846,153 USD)","800,625 GBP (985,384 USD)"
Jonas Wood Title Untitled,Untitled (black and gray),oil and acrylic on linen,2009,62,43,157.5,109.2,Bonhams London,"Thursday, October 3, 2019",00020,"300,000 - 400,000 GBP (371,793 - 495,724 USD)",Bought In
Jonas Wood Title Tape Still Life Description Jonas Wood,Tape Still Life,oil on canvas,2008,38,40,96.5,101.6,Christie's New York,"Friday, September 27, 2019",00315,"300,000 - 500,000 USD","375,000 USD"
Jonas Wood Title BW PARROT PATTERN Description signed,BW PARROT PATTERN,oil and acrylic on canvas,2012,65.2,65.2,165.7,165.7,Sotheby's New York,"Thursday, September 26, 2019",00203,"300,000 - 400,000 USD","596,000 USD"
Jonas Wood Title Diet,Diet 7Up Frimkess Pot,oil and acrylic on canvas,2016,114,76,289.5,193,Christie's London,"Tuesday, June 25, 2019",00013,"1,200,000 - 1,800,000 GBP (1,526,329 - 2,289,493 USD)","1,571,250 GBP (1,998,537 USD)"
Jonas Wood Title MONKEY POT Description Jonas WoodB,MONKEY POT,oil and acrylic on canvas,2015,118,90,299.7,228.6,Sotheby's New York,"Friday, May 17, 2019",00541,"400,000 - 600,000 USD","500,000 USD"
Jonas Wood Title SHIO BUTTERFLY STILL LIFE Description Jonas WoodB,SHIO BUTTERFLY STILL LIFE,oil and acrylic on canvas,2019,40,24,101.6,61,Sotheby's New York,"Friday, May 17, 2019",00410,"300,000 - 400,000 USD","824,000 USD"
Jonas Wood Title THE SPELLER Description Jonas WoodB,THE SPELLER,oil on canvas,2007,78,98,198.1,248.9,Sotheby's New York,"Thursday, May 16, 2019",00048,"500,000 - 700,000 USD","1,700,000 USD"
Jonas Wood Title M,M.S.F. Fish Pot #5,oil and acrylic on canvas,2015,76,74,193,188,Christie's New York,"Thursday, May 16, 2019",00809,"900,000 - 1,200,000 USD","3,375,000 USD"
Jonas Wood Title Untitled Description Jonas Wood,Untitled,oil on canvas,2009,34.1,22,86.7,55.9,Christie's New York,"Thursday, May 16, 2019",00847,"150,000 - 200,000 USD","411,000 USD"
Jonas Wood Title NCAA Basketball,NCAA Basketball 6,oil on canvas,2009,20,15,50.8,38.1,Christie's New York,"Thursday, May 16, 2019",00915,"50,000 - 70,000 USD","106,250 USD"
Jonas Wood Title Japanese Garden,Japanese Garden 3,oil and acrylic on canvas,2019,88,98,223.5,248.9,Christie's New York,"Wednesday, May 15, 2019",0058B,"500,000 - 700,000 USD","4,928,500 USD"
Jonas Wood Title Lew Alcindor Description signed with the artist,Lew Alcindor,oil and acrylic on linen,2010,54,40,137.2,101.6,Phillips New York,"Wednesday, May 15, 2019",00342,"100,000 - 150,000 USD","187,500 USD"
Jonas Wood Title Australian Open Two Description Australian Open Two,Australian Open Two,oil and acrylic on linen,2012,88,60,223.5,152.4,Phillips Hong Kong,"Sunday, November 25, 2018",00023,"4,500,000 - 5,500,000 HKD (575,138 - 702,947 USD)","5,500,000 HKD (702,947 USD)"
