Artist,Title,Medium,Year,Height (in),Width (in),Height (cm),Width (cm),Auction House,Sale Date,Lot Number,Estimate Price,Sold Price
Harold Ancart Title Untitled Description Untitledoilstick and pencil on paper mounted on panel,Untitled,"oilstick and pencil on paper mounted on panel, in",2013,67.3,44.8,171,113.8,Phillips London,"Thursday, October 4, 2018",00150,"30,000 - 50,000 GBP (39,047 - 65,078 USD)","100,000 GBP (130,157 USD)"
Harold Ancart Title Untitled Description Untitledoilstick and pencil on paper mounted on panel,Untitled,"oilstick and pencil on paper mounted on panel, in",2015,16.5,20.5,42,52,Phillips London,"Tuesday, June 26, 2018",00176,"20,000 - 30,000 GBP (26,486 - 39,729 USD)","35,000 GBP"
Harold Ancart Title UNTITLED Description Harold AncartB,UNTITLED,oilstick on canvas,2015,81,113,205.7,287,Sotheby's New York,"Thursday, May 17, 2018",00408,"70,000 - 90,000 USD","237,500 USD"
Harold Ancart Title Untitled,Untitled (Full Moon in the Deep Forest),"pencil, acrylic, tape and oil stick on paper laid on",2013,68.2,45.7,173.2,116,Phillips London,"Friday, June 30, 2017",00102,"30,000 - 50,000 GBP (38,981 - 64,968 USD)","112,500 GBP (146,179 USD)"
Harold Ancart Title UNTITLED Description oilstick and graphite on paper mounted to board,UNTITLED,"oilstick and graphite on paper mounted to board,",2015,52.6,71.9,133.7,182.6,Sotheby's New York,"Friday, May 19, 2017",00415,"50,000 - 70,000 USD","93,750 USD"
Harold Ancart Title Untitled,Untitled (beach),acrylic on burned photograph mounted on,2013,16,19.9,40.6,50.5,Sotheby's New York,"Wednesday, June 10, 2015",00215,"10,000 - 15,000 USD","10,000 USD"
Harold Ancart Title Untitled Description pencil,Untitled,pencil and oilstick on paper laid on board,2013,51.8,34.4,131.5,87.5,Sotheby's London,"Friday, October 18, 2013",00303,"3,000 - 5,000 GBP (4,855 - 8,091 USD)","11,875 GBP (19,218 USD)"
Hernan Bas Title the skeleton forest Description,the skeleton forest,oil and gouache on canvas,2007,24,20.3,61,51.5,Grisebach GmbH,"Friday, November 29, 2024",00706,"40,000 - 60,000 EUR (42,185 - 63,277 USD)",Bought In
Hernan Bas Title Tartini,Tartini's Dream (The Devil's Trill),"acrylic, airbrush and block print on linen",2012,108,96,274.3,243.8,,,,"600,000 - 800,000 USD","693,000 USD"
Hernan Bas Title Untitled,Untitled (Dating Pool),water-based oil on panel,2003,30,40,76.2,101.6,Phillips New York,"Wednesday, November 20, 2024",00353,"50,000 - 70,000 USD","44,450 USD"
Hernan Bas Title He,He’d Never Heard of Dinosaurs,mixed media on maple panel,2004,31,24,78.7,61,Christie's Hong Kong,"Saturday, November 9, 2024",00116,"600,000 - 1,200,000 HKD (77,176 - 154,352 USD)",Bought In
Hernan Bas Title The Haunted House Keeper Description DETAILSHERNAN BAS,The Haunted House Keeper,acrylic and distemper on linen,2020,84.3,107.9,214,274,"Christie's Auction (Shanghai) Co., Ltd","Thursday, November 7, 2024",00023,"2,600,000 - 4,600,000 CNY (364,084 - 644,149 USD)",Bought In
Hernan Bas Title The Primordial Soup Theory,The Primordial Soup Theory (Homosexual),"acrylic, airbrush and household gloss on linen",2010,60,48,152.3,121.9,Christie's London,"Wednesday, October 9, 2024",00053,"250,000 - 350,000 GBP (326,925 - 457,695 USD)","403,200 GBP (527,265 USD)"
Hernan Bas Title Do You Know How Beautiful You Are,Do You Know How Beautiful You Are?,"oil, acrylic and gouache on panel",2004,32,23.9,81.3,60.6,Christie's New York,"Tuesday, October 1, 2024",00121,"100,000 - 150,000 USD","163,800 USD"
Hernan Bas Title Mystery Bouf,"Mystery Bouf (or, the kingdom after the flood)",acrylic on canvas over panel,2009,72,95.7,182.9,243,Christie's Hong Kong,"Thursday, September 26, 2024",00005,"4,800,000 - 8,800,000 HKD (617,061 - 1,131,279 USD)",Bought In
Hernan Bas Title Bloodwerk,Bloodwerk (Dior #4),ink on chromogenic print cutout,2002,10.7,16,27.3,40.6,Christie's Online,"Thursday, July 18, 2024",00024,"1,500 - 2,000 USD","3,528 USD"
Hernan Bas Title The Hailstorm,The Hailstorm (he's been through this before),"acrylic, silkscreen and airbrush on linen",2013,60,48,152.4,121.9,Phillips Hong Kong,"Saturday, June 1, 2024",00124,"1,600,000 - 2,600,000 HKD (204,632 - 332,527 USD)","1,270,000 HKD (162,426 USD)"
Hernan Bas Title A Rising Fever Description DETAILSHERNAN BAS,A Rising Fever,acrylic on linen,2015,50,40.2,127.1,102.1,Christie's Hong Kong,"Wednesday, May 29, 2024",00315,"800,000 - 1,200,000 HKD (102,386 - 153,580 USD)","1,260,000 HKD (161,259 USD)"
Hernan Bas Title The Paper Crown Prince Description HERNAN BAS,The Paper Crown Prince,water-based oil on panel,2005,11.9,10,30.2,25.4,Christie's New York,"Friday, May 17, 2024",00301,"40,000 - 60,000 USD","107,100 USD"
Hernan Bas Title Things Fly About Description Hernan BasThings Fly Aboutsigned with the artist,Things Fly About,oil and mixed media on panel,2006,10,12,25.4,30.5,Phillips New York,"Wednesday, May 15, 2024",00318,"60,000 - 90,000 USD","76,200 USD"
Hernan Bas Title Trying to fit in Description HERNAN BAS,Trying to fit in,"oil, acrylic and gouache on panel",2004,31,24,78.7,61,,,,"70,000 - 100,000 USD","390,600 USD"
Hernan Bas Title The Make,The Make-Shift Fountain,acrylic on linen,2017,29.9,22,76,56,K Auction,"Wednesday, April 24, 2024",00084,,"220,000,000 KRW (159,692 USD)"
Hernan Bas Title Supercut,Supercut (Look 11),acrylic on linen,2019,14.1,11,35.8,28,Sotheby's London,"Friday, October 13, 2023",00209,"30,000 - 40,000 GBP (36,407 - 48,543 USD)","139,700 GBP (169,538 USD)"
Hernan Bas Title The dead line Description Hernan BasThe dead linesigned with the artist,The dead line,"acrylic, airbrush, block print and screen print on",2011,96.1,108.3,244,275,Phillips Hong Kong,"Friday, October 6, 2023",00021,"5,000,000 - 7,000,000 HKD (638,439 - 893,814 USD)","6,350,000 HKD (810,817 USD)"
Hernan Bas Title Baby,"Baby, Let's Play House","acrylic, graphite and airbrush on mylar",2010,14,11,35.6,27.9,Christie's Online,"Wednesday, July 5, 2023",00048,"8,000 - 12,000 GBP (10,166 - 15,249 USD)","22,680 GBP (28,821 USD)"
Hernan Bas Title Secret Hideout of the Flamingo Gang,Secret Hideout of the Flamingo Gang (Abandoned,acrylic on linen,2014,72,60,182.9,152.4,Christie's Hong Kong,"Monday, May 29, 2023",00309,"3,000,000 - 5,000,000 HKD (383,224 - 638,708 USD)","4,410,000 HKD (563,340 USD)"
Hernan Bas Title The hillsides must not know it Description Hernan BasThe hillsides must not know itsigned with the artist,The hillsides must not know it,acrylic airbrush and block print on linen,2011,72.1,84.1,183.2,213.5,Phillips Hong Kong,"Thursday, March 30, 2023",00009,"6,500,000 - 8,500,000 HKD (828,036 - 1,082,816 USD)","8,255,000 HKD (1,051,605 USD)"
Hernan Bas Title HOAX REVELED,HOAX REVELED: the Devil of Deckheart Manor,acrylic and silkscreen on linen,2013,60,48,152.4,121.9,Christie's New York,"Friday, March 10, 2023",00202,"150,000 - 200,000 USD","163,800 USD"
Hernan Bas Title Super Cut Description Lot,Super Cut,acrylic on linen,2019,14,11,35.6,27.9,Sotheby's New York,"Thursday, March 9, 2023",00008,"30,000 - 50,000 USD","82,550 USD"
Hernan Bas Title Lending Oneself to Nature Description HERNAN BAS,Lending Oneself to Nature,mixed media on canvas,2006,12,9.1,30.5,23,Christie's Hong Kong,"Thursday, December 1, 2022",00354,"220,000 - 420,000 HKD (28,285 - 53,999 USD)","352,800 HKD (45,359 USD)"
Hernan Bas Title A Splinter Description HERNAN BAS,A Splinter,"acrylic, airbrush, household gloss and block print",2010,72,60,182.9,152.4,Christie's Hong Kong,"Thursday, December 1, 2022",00318,"2,000,000 - 3,000,000 HKD (257,142 - 385,713 USD)","2,520,000 HKD (323,999 USD)"
Hernan Bas Title The Bats and the Barn Bridge Description HERNAN BAS,The Bats and the Barn Bridge,mixed media on linen laid on panel (diptych),2008,83.9,60,213,152.5,Christie's Hong Kong,"Wednesday, November 30, 2022",00030,"9,000,000 - 15,000,000 HKD (1,153,107 - 1,921,845 USD)","11,250,000 HKD (1,441,383 USD)"
Hernan Bas Title,现代性的曙光,Acrylic on canvas on birch frame,2016,72,84,182.9,213.4,"Holly's International (HK) Auctions Co., Ltd","Sunday, November 27, 2022",00009,"8,000,000 - 12,000,000 HKD (1,023,829 - 1,535,744 USD)","21,000,000 HKD (2,687,552 USD)"
Hernan Bas Title Untitled,Untitled (As Yet),oil and graphite on paper,2005,30.2,22.5,76.8,57.2,Phillips New York,"Wednesday, November 16, 2022",00423,"40,000 - 60,000 USD","126,000 USD"
Hernan Bas Title Stroll Description Hernan Bas Stroll VAT reduced rate Estimate,Stroll,"acrylic, gouache and oil on canvas",2006,12,9,30.5,22.8,Sotheby's London,"Saturday, October 15, 2022",00212,"18,000 - 25,000 GBP (20,122 - 27,948 USD)","27,720 GBP (30,989 USD)"
Hernan Bas Title The Ash Tree,The Ash Tree (At Once a Voice Arose Among the,"acrylic, airbrush, household gloss and block print",2010,60,72,152.4,182.9,Sotheby's Hong Kong,"Friday, October 7, 2022",01208,"3,200,000 - 4,800,000 HKD (407,617 - 611,426 USD)","4,410,000 HKD (561,747 USD)"
Hernan Bas Title The Start of Something New Description HERNAN BAS,The Start of Something New,"oil, gouache, graphite and resin on board",2004,31,23.5,78.7,59.6,Christie's Online,"Wednesday, July 20, 2022",00012,"60,000 - 80,000 USD","126,000 USD"
Hernan Bas Title Untitled,Untitled (Conductor),graphite on vellum,2006,22,17,55.9,43.2,Christie's Online,"Wednesday, July 20, 2022",00033,"10,000 - 15,000 USD",Bought In
Hernan Bas Title Who Told Them We Were Coming Description signed with the artist,Who Told Them We Were Coming,oil on canvas,2013,72,59.8,183,152,Phillips Hong Kong,"Wednesday, June 22, 2022",00005,"4,000,000 - 6,000,000 HKD (509,573 - 764,360 USD)","3,528,000 HKD (449,443 USD)"
Hernan Bas Title Invocation of the Cross Description Hernan Bas,Invocation of the Cross,oil and acrylic on canvas,2007,14,11,35.6,27.9,Christie's Online,"Wednesday, June 8, 2022",00002,"25,000 - 45,000 EUR (26,849 - 48,329 USD)","52,920 EUR (56,836 USD)"
Hernan Bas Title The Overly Prepped Boy,The Overly Prepped Boy (or The Approaching,"acrylic, ink and silver leaf on linen",2010,72,60,183,152.4,Christie's Hong Kong,"Thursday, May 26, 2022",0008B,"4,800,000 - 6,000,000 HKD (611,472 - 764,340 USD)","9,810,000 HKD (1,249,697 USD)"
Hernan Bas Title First Comes the Blood,"First Comes the Blood, then Come the Boys",water-based oil and graphite on vellum,2002,11.8,9.1,30,23,Phillips London,"Wednesday, May 18, 2022",00050,"5,000 - 7,000 GBP (6,199 - 8,679 USD)","8,190 GBP (10,154 USD)"
Hernan Bas Title Study for Listening Party Description signed with the artist,Study for Listening Party,"oil, acrylic, gouache and graphite on paper",2007,22.4,30.1,56.8,76.5,Phillips New York,"Wednesday, March 9, 2022",00028,"30,000 - 40,000 USD","65,520 USD"
Hernan Bas Title Minimalism,Minimalism (cracking the code),acrylic on linen,2019,60.1,48,152.6,122,Phillips in Association with Poly Auction,"Tuesday, November 30, 2021",00010,"1,000,000 - 1,500,000 HKD (128,256 - 192,384 USD)","3,780,000 HKD (484,808 USD)"
Hernan Bas Title Nick,"Nick, Drawing Straws",water-based oil paint on vellum,2002,9,4.8,22.9,12.1,Phillips in Association with Poly Auction,"Monday, November 29, 2021",00124,"60,000 - 80,000 HKD (7,693 - 10,257 USD)","126,000 HKD (16,155 USD)"
